Order,PID,'MS SubClass','MS Zoning','Lot Frontage','Lot Area',Street,Alley,'Lot Shape','Land Contour',Utilities,'Lot Config','Land Slope',Neighborhood,'Condition 1','Condition 2','Bldg Type','House Style','Overall Qual','Overall Cond','Year Built','Year Remod/Add','Roof Style','Roof Matl','Exterior 1st','Exterior 2nd','Mas Vnr Type','Mas Vnr Area','Exter Qual','Exter Cond',Foundation,'Bsmt Qual','Bsmt Cond','Bsmt Exposure','BsmtFin Type 1','BsmtFin SF 1','BsmtFin Type 2','BsmtFin SF 2','Bsmt Unf SF','Total Bsmt SF',Heating,'Heating QC','Central Air',Electrical,'1st Flr SF','2nd Flr SF','Low Qual Fin SF','Gr Liv Area','Bsmt Full Bath','Bsmt Half Bath','Full Bath','Half Bath','Bedroom AbvGr','Kitchen AbvGr','Kitchen Qual','TotRms AbvGrd',Functional,Fireplaces,'Fireplace Qu','Garage Type','Garage Yr Blt','Garage Finish','Garage Cars','Garage Area','Garage Qual','Garage Cond','Paved Drive','Wood Deck SF','Open Porch SF','Enclosed Porch','3Ssn Porch','Screen Porch','Pool Area','Pool QC',Fence,'Misc Feature','Misc Val','Mo Sold','Yr Sold','Sale Type','Sale Condition',SalePrice
2290,923228290,180,3,21,1936,1,-1,1,1,1,2,1,1,2,2,-2,-3,4,6,1970,1970,2,2,4,4,-1,0,0,0,2,1,0,1,1,131,3,499,0,630,1,1,1,2,630,0,0,630,1,0,1,0,1,1,0,3,3,0,-3,-3,1978.132443,-2,0,0,-3,-3,0,0,0,0,0,0,0,-3,1,-3,0,12,2007,5,3,84500
2291,923228390,160,3,21,1890,1,-1,1,1,1,2,1,1,2,2,-2,0,4,3,1976,1976,2,2,4,4,-1,0,0,0,2,0,0,-1,-2,0,-2,0,546,546,1,2,1,2,546,546,0,1092,0,0,1,1,3,1,0,6,3,0,-3,2,1976,-1,1,286,0,0,0,0,0,0,0,0,0,-3,0,-3,0,4,2007,1,3,75190
2292,923229010,80,1,69.22459,11333,1,-1,0,1,1,1,1,0,2,2,2,-4,6,5,1976,1976,2,2,3,3,-1,0,0,0,1,1,0,1,2,539,-2,0,490,1029,1,0,1,2,1062,0,0,1062,1,0,1,0,3,1,0,5,3,2,0,2,1976,0,2,539,0,0,0,120,0,0,0,0,0,-3,-2,-3,0,5,2007,5,3,146800
2293,923229040,85,1,72,9129,1,-1,1,1,1,2,1,0,2,2,2,-3,5,5,1977,1977,2,2,-1,-1,1,144,0,0,1,1,0,1,3,923,-2,0,0,923,1,0,1,2,1008,0,0,1008,1,0,1,0,1,1,1,4,3,1,-1,2,1977,1,2,678,0,0,0,201,66,0,0,0,0,-3,1,-3,0,7,2007,5,3,153500
2294,923229100,80,1,69.22459,15957,1,-1,0,-2,1,1,0,0,2,2,2,-4,6,6,1977,1977,2,2,3,-1,-1,0,0,0,1,1,0,2,3,1148,-2,0,96,1244,1,0,1,2,1356,0,0,1356,2,0,2,0,3,1,0,6,3,1,0,2,1977,1,2,528,0,0,0,1424,0,0,0,0,0,-3,1,-3,0,9,2007,5,3,188000
2296,923230010,60,1,68,8286,1,-1,0,1,1,1,1,0,2,2,2,0,5,7,1977,1977,2,2,-1,-1,-1,0,0,0,1,1,0,-1,0,531,-2,0,185,716,1,2,1,2,716,716,0,1432,1,0,1,1,3,1,0,6,3,1,1,2,1977,1,2,531,0,0,0,0,136,0,0,240,0,-3,2,-3,0,6,2007,5,3,157000
2297,923230120,85,1,50,6723,1,-1,1,1,1,2,1,0,2,2,2,-3,5,7,1971,1971,2,2,-6,3,-1,0,0,0,2,1,0,1,3,796,-2,0,0,796,1,0,1,2,796,0,0,796,0,1,1,0,2,1,0,5,3,0,-3,-3,1978.132443,-2,0,0,-3,-3,0,129,0,0,0,0,0,-3,0,-3,0,9,2007,5,3,138000
2298,923230180,85,1,54,7244,1,-1,1,1,1,2,1,0,2,2,2,-3,5,7,1970,1970,2,2,-5,-5,-1,0,0,1,2,1,0,1,2,619,-2,0,149,768,1,2,1,2,768,0,0,768,1,0,1,0,2,1,0,5,3,0,-3,-2,1987,-1,2,624,0,0,0,104,0,0,0,0,0,-3,-2,-3,0,4,2007,5,3,129500
2300,923252080,20,1,69,7599,1,-1,1,1,1,1,1,0,2,2,2,3,4,6,1982,2006,2,2,3,-1,-1,0,0,0,2,0,0,-1,2,565,-2,0,280,845,1,0,1,2,845,0,0,845,1,0,1,0,2,1,0,4,3,0,-3,-2,1987,-1,2,360,0,0,0,0,0,0,0,0,0,-3,-2,-3,0,6,2007,5,3,129500
2301,923275010,20,1,69.22459,11000,1,-1,-1,1,1,1,1,0,2,2,2,3,5,6,1976,2003,2,2,-1,-1,-1,0,0,0,1,1,0,-1,-1,1090,-2,0,0,1090,1,0,1,2,1178,0,0,1178,1,0,1,1,3,1,0,6,3,0,-3,2,1976,-1,2,502,0,0,0,0,44,0,0,88,0,-3,1,-3,0,6,2007,5,3,135000
2302,923275200,20,1,76,8314,1,-1,1,1,1,1,1,0,2,2,2,3,5,7,1982,1982,2,2,3,2,-1,0,0,0,2,0,0,2,2,546,-2,0,270,816,1,0,1,2,816,0,0,816,0,0,1,0,2,1,0,5,3,0,-3,2,1982,-1,1,264,0,0,0,168,0,0,0,0,0,-3,-2,-3,0,6,2007,5,3,124500
2303,923276180,20,1,65,11625,1,-1,0,1,1,2,1,0,2,2,2,3,5,7,1983,1983,2,2,3,3,-1,0,0,0,2,1,0,-1,2,596,-2,0,220,816,1,0,1,2,816,0,0,816,1,0,1,0,2,1,0,4,3,0,-3,2,1983,1,1,264,0,0,0,330,0,0,0,0,0,-3,1,-3,0,5,2007,5,3,139000
2305,923425030,20,1,62,10447,1,-1,1,1,1,2,1,0,2,2,2,3,5,6,1984,1984,2,2,-1,3,-1,0,0,0,2,0,0,-1,2,516,-2,0,348,864,1,0,1,2,887,0,0,887,0,1,1,0,3,1,0,5,3,0,-3,2,1984,0,1,288,0,0,0,140,0,0,0,0,0,-3,-2,-3,0,12,2007,5,3,124500
2306,526302030,20,1,69.22459,11027,1,-1,0,1,1,2,1,-1,2,2,2,3,6,5,1954,1954,0,2,-6,-6,-2,28,0,0,2,0,0,-1,1,468,0,539,171,1178,1,1,1,2,1293,0,0,1293,1,0,2,0,2,1,0,5,3,0,-3,2,1954,0,2,452,0,0,0,280,0,0,0,0,0,-3,-2,-3,0,5,2006,5,3,149900
2307,526302040,20,1,85,10533,1,-1,0,1,1,2,1,-1,2,2,2,3,6,6,1956,1956,0,2,-5,-5,1,244,0,1,2,0,0,-1,0,773,-2,0,235,1008,1,0,1,2,1024,0,0,1024,1,0,1,0,2,1,1,5,3,2,0,2,1956,-1,1,313,0,0,0,0,0,0,0,280,0,-3,-2,-3,0,8,2006,5,3,157500
2314,527107030,60,1,69.22459,13031,1,-1,-1,1,1,1,1,6,2,2,2,0,6,5,1995,1996,2,2,3,3,-1,0,0,0,1,1,0,-1,2,592,-2,0,99,691,1,1,1,2,691,807,0,1498,0,0,2,1,3,1,0,6,3,1,0,2,1995,1,2,409,0,0,0,315,44,0,0,0,0,-3,-2,-3,0,7,2006,5,3,187500
2324,527158020,20,1,69.22459,8076,1,-1,0,1,1,2,1,6,2,2,2,3,6,6,1993,1994,2,2,3,3,1,112,0,0,1,1,0,-1,3,705,-2,0,455,1160,1,1,1,2,1169,0,0,1169,0,1,2,0,3,1,0,6,3,1,0,2,1993,1,2,402,0,0,0,0,26,0,0,144,0,-3,1,-3,0,7,2006,5,3,183500
2327,527182020,120,1,30,3701,1,-1,0,1,1,2,1,-11,2,2,-1,3,8,5,1987,1987,2,2,3,3,-1,0,0,0,2,1,0,-1,-2,0,-2,0,1191,1191,1,0,1,2,1204,0,0,1204,0,0,2,0,2,1,0,5,3,0,-3,2,1987,0,2,461,0,0,0,120,70,0,0,0,0,-3,-2,-3,0,8,2006,5,3,130000
2339,527250040,190,1,100,34650,1,-1,1,0,1,2,1,6,2,2,1,3,5,5,1955,1955,0,2,-6,-6,-1,0,0,0,2,0,0,0,0,1056,-2,0,0,1056,1,0,-1,2,1056,0,0,1056,1,0,1,0,3,1,0,5,3,0,-3,2,1955,1,2,572,0,0,0,264,0,0,0,0,0,-3,-2,-3,0,1,2006,5,3,145000
2347,527328010,85,1,69.22459,10464,1,-1,0,1,1,-2,1,-5,2,2,2,-3,6,6,1980,1980,2,2,3,3,1,130,0,0,2,1,0,1,3,850,-2,0,138,988,1,0,1,2,1102,0,0,1102,1,0,1,0,2,1,0,5,3,1,0,2,1980,0,2,582,0,0,0,140,22,0,0,0,0,-3,-2,-3,0,6,2006,5,3,169000
2353,527358090,85,1,69.22459,9927,1,-1,0,1,1,2,1,-5,2,2,2,-3,7,5,1976,1976,2,2,-5,-6,-2,252,1,0,2,2,0,2,3,1005,-2,0,42,1047,1,0,1,2,1083,0,0,1083,1,0,1,0,2,1,0,5,3,1,-1,2,1976,0,2,596,0,0,0,444,0,40,0,0,0,-3,-2,-3,0,7,2006,5,3,172000
2356,527376090,20,1,78,10140,1,-1,1,1,1,2,1,-5,2,2,2,3,5,6,1975,1975,2,2,3,3,-1,0,0,0,2,1,0,-1,2,788,-2,0,268,1056,1,2,1,2,1074,0,0,1074,1,0,1,1,3,1,0,6,3,0,-3,2,1975,0,2,495,0,0,0,0,88,0,0,0,0,-3,1,-3,0,7,2006,5,3,153500
2358,527377030,20,1,78,10140,1,-1,1,1,1,2,1,-5,2,2,2,3,6,6,1974,1999,0,2,3,3,1,99,0,0,2,0,0,-1,2,663,-1,377,0,1040,1,-1,1,2,1309,0,0,1309,1,0,1,1,3,1,1,5,3,1,-1,2,1974,0,2,484,0,0,0,265,0,0,0,0,648,-1,2,-3,0,1,2006,5,3,181000
2359,527378010,20,1,80,10000,1,-1,1,1,1,2,1,-5,2,2,2,3,6,6,1974,1974,2,2,3,-1,1,176,0,0,2,0,0,-1,2,755,-2,0,348,1103,1,0,1,2,1103,0,0,1103,0,0,2,0,3,1,0,6,3,0,-3,2,1974,-1,2,462,0,0,0,295,84,0,0,0,0,-3,0,-3,0,6,2006,5,3,155000
2362,527403120,20,1,69.22459,8125,1,-1,0,1,1,1,1,-1,2,2,2,3,4,4,1971,1971,2,2,3,3,-1,0,0,0,2,0,0,-1,1,614,-2,0,244,858,1,0,1,2,858,0,0,858,0,0,1,0,3,1,0,5,3,0,-3,-3,1978.132443,-2,0,0,-3,-3,0,0,0,0,0,0,0,-3,-2,-3,0,6,2006,5,3,88000
2363,527404180,20,1,60,7200,1,-1,1,1,1,2,1,-1,2,2,2,3,4,4,1971,1971,2,2,3,3,-1,0,0,0,2,0,0,-1,0,20,-1,620,224,864,1,0,1,2,874,0,0,874,0,1,1,0,3,1,0,5,3,0,-3,-2,1995,-1,2,576,0,0,0,63,0,0,0,0,0,-3,-2,-3,0,3,2006,5,3,97500
2364,527427210,120,0,26,8773,1,-1,-1,1,1,-1,1,-1,2,2,-1,3,6,5,2002,2002,2,2,1,1,-1,0,1,0,1,1,0,-1,3,951,-2,0,536,1487,1,2,1,2,1419,0,0,1419,1,0,2,0,2,1,1,4,3,0,-3,2,2002,1,2,543,0,0,0,196,68,0,0,0,0,-3,-2,-3,0,9,2006,5,3,190000
2365,527450010,160,3,24,2760,1,-1,1,1,1,2,1,12,2,2,-1,0,6,5,1973,1973,2,2,3,3,1,514,0,0,2,0,0,-1,-2,0,-2,0,525,525,1,0,1,2,525,567,0,1092,0,0,1,1,3,1,0,6,3,0,-3,-2,1973,-1,2,440,0,0,0,0,0,0,0,0,0,-3,-2,-3,0,12,2006,5,3,105500
2366,527450080,160,3,24,2160,1,-1,1,1,1,2,1,12,2,2,-1,0,5,6,1973,1973,2,2,3,3,1,200,0,0,2,0,0,-1,-1,402,-2,0,363,765,1,1,1,2,765,600,0,1365,0,0,1,1,3,1,1,7,2,1,-1,2,1973,-1,2,440,0,0,0,0,36,0,0,0,0,-3,-2,-3,0,6,2006,5,3,125500
2367,527450210,160,3,21,1953,1,-1,1,1,1,2,1,12,2,2,-2,0,6,5,1973,1973,2,2,3,3,1,408,0,0,2,0,-1,-1,1,309,-2,0,174,483,1,0,1,2,483,504,0,987,0,0,1,1,2,1,0,5,3,0,-3,-2,1973,-1,1,264,0,0,0,72,0,0,0,0,0,-3,-2,-3,0,6,2006,5,3,83000
2368,527450460,160,3,21,1890,1,-1,1,1,1,2,1,12,2,2,-2,0,6,7,1972,1972,2,2,3,3,1,380,0,0,2,0,0,-1,2,282,-2,0,212,494,1,2,1,2,494,536,0,1030,0,0,1,1,3,1,0,6,3,0,-3,-2,1973,-1,1,264,0,0,0,0,0,0,0,0,0,-3,-2,-3,0,7,2006,5,3,116000
2370,527451380,160,3,21,1680,1,-1,1,1,1,2,1,12,2,2,-2,0,6,7,1972,1972,2,2,3,3,1,281,0,0,2,0,0,-1,1,317,-2,0,355,672,1,1,1,2,672,546,0,1218,0,1,1,1,3,1,0,7,3,0,-3,-2,1972,-1,1,264,0,0,0,0,28,0,0,0,0,-3,-2,-3,0,5,2006,5,3,118000
2371,527451450,160,3,21,1680,1,-1,1,1,1,2,1,12,2,2,-2,0,6,5,1972,1972,2,2,3,3,1,504,0,0,2,0,0,-1,2,276,-2,0,207,483,1,0,1,2,483,465,0,948,0,0,1,1,2,1,0,5,3,0,-3,-2,1972,-1,1,264,0,0,0,0,0,0,0,0,0,-3,-2,-3,0,7,2006,5,3,89000
2372,527451460,160,3,21,1680,1,-1,1,1,1,2,1,12,2,2,-2,0,6,5,1972,1972,2,2,3,3,1,504,0,0,2,0,0,-1,1,382,-2,0,143,525,1,1,1,2,525,567,0,1092,0,0,1,1,3,1,0,6,3,0,-3,-2,1972,-1,1,264,0,0,0,352,0,0,0,0,0,-3,2,-3,0,10,2006,5,3,108000
2373,527451520,160,3,21,1680,1,-1,1,1,1,2,1,12,2,2,-2,0,6,5,1972,1972,2,2,3,3,1,297,0,0,2,0,0,-1,-2,0,-2,0,483,483,1,0,1,2,483,504,0,987,0,0,1,1,2,1,0,5,3,1,-2,2,1972,-1,1,288,0,0,0,0,0,0,0,0,0,-3,-2,-3,0,6,2006,5,3,94500
2374,527452070,120,1,53,4043,1,-1,1,1,1,2,1,-3,2,2,-1,3,6,5,1975,1975,2,2,-1,-1,-1,0,0,0,2,1,0,-1,2,727,1,156,186,1069,1,1,1,2,1069,0,0,1069,0,1,2,0,2,1,0,4,3,1,-2,2,1975,0,2,440,0,0,0,0,55,0,0,225,0,-3,-2,-3,0,7,2006,5,3,146300
2375,527452290,20,1,65,7514,1,-1,1,1,1,2,1,-1,2,2,2,3,5,7,1967,1975,0,2,1,1,-1,0,0,0,2,0,0,0,2,373,0,108,462,943,1,0,1,2,1387,0,0,1387,1,0,1,0,3,1,0,6,3,1,0,2,1974,0,1,300,0,0,0,0,0,240,0,0,0,-3,-2,-3,0,9,2006,5,3,145000
2376,527452310,85,1,68,7838,1,-1,1,1,1,2,1,-1,2,2,2,-3,5,5,1967,1967,2,2,3,3,-1,0,0,0,2,0,0,1,2,769,-2,0,95,864,1,0,1,2,900,0,0,900,1,0,1,0,3,1,0,6,3,1,-2,2,1967,0,1,288,0,0,0,175,144,0,0,0,0,-3,-1,-3,0,12,2006,5,3,123000
2377,527453070,120,1,24,2280,1,-1,1,1,1,-1,1,-3,2,2,-2,3,7,7,1976,1976,2,2,-1,7,-1,0,0,0,2,0,0,-1,2,120,1,492,443,1055,1,0,1,2,1055,0,0,1055,1,0,2,0,2,1,0,4,3,0,-3,2,1976,-1,1,319,0,0,0,0,29,0,0,0,0,-3,-2,-3,0,4,2006,5,3,137500
2378,527455100,160,1,24,2179,1,-1,1,1,1,2,1,-3,2,2,-2,0,6,5,1976,1976,2,2,-1,7,-1,0,0,0,2,1,0,-1,2,70,-2,0,785,855,1,1,1,2,855,601,0,1456,0,0,2,1,3,1,0,6,3,1,0,2,1976,0,2,460,0,0,0,0,28,0,0,0,0,-3,-2,-3,0,7,2006,5,3,144000
2404,528174080,120,1,43,7052,1,-1,0,1,1,2,1,-4,2,2,-1,3,7,5,2005,2005,2,2,-5,-5,-2,240,1,0,1,1,0,1,3,659,-2,0,705,1364,1,2,1,2,1364,0,0,1364,1,0,2,0,2,1,1,6,3,1,1,2,2005,0,2,484,0,0,0,192,36,0,0,0,0,-3,-2,-3,0,6,2006,5,3,185850
2410,528188040,120,1,69.22459,3136,1,-1,0,1,1,1,1,-4,2,2,-1,3,7,5,2003,2003,2,2,-5,-6,-2,163,1,0,1,1,0,-1,-2,0,-2,0,1405,1405,1,2,1,2,1405,0,0,1405,0,0,2,0,2,1,1,6,3,1,1,2,2003,0,2,478,0,0,0,148,36,0,0,0,0,-3,-2,-3,0,3,2006,5,3,171750
2422,528228340,120,1,69.22459,3196,1,-1,1,1,1,2,1,6,2,2,-1,3,8,5,2003,2003,2,2,-5,-5,1,40,1,0,1,1,0,2,-2,0,-2,0,1273,1273,1,2,1,2,1456,0,0,1456,0,0,2,0,2,1,1,7,3,1,0,2,2003,1,2,400,0,0,0,143,20,0,0,0,0,-3,-2,-3,0,5,2006,5,3,215000
2424,528228415,120,3,69.22459,3072,1,-1,1,1,1,2,1,6,2,2,-1,3,7,5,2004,2004,0,2,-5,-5,1,18,1,0,1,1,0,-1,-2,0,-2,0,1375,1375,1,2,1,2,1414,0,0,1414,0,0,2,0,2,1,1,6,3,1,0,2,2004,1,2,398,0,0,0,144,20,0,0,0,0,-3,-2,-3,0,5,2006,5,3,178740
2433,528235130,60,1,74,9056,1,-1,0,1,1,2,1,6,2,2,2,0,8,5,2004,2004,2,2,-5,-5,-1,0,1,0,1,2,1,1,-2,0,-2,0,707,707,1,2,1,2,707,707,0,1414,0,0,2,1,3,1,1,6,3,1,1,2,2004,1,2,403,0,0,0,100,35,0,0,0,0,-3,-2,-3,0,10,2006,5,3,178000
2469,528488120,20,-2,62,7500,1,1,1,1,1,2,1,-10,2,2,2,3,7,5,2005,2005,2,2,-5,-5,-1,0,1,0,1,1,0,-1,-2,0,-2,0,1257,1257,1,2,1,2,1266,0,0,1266,0,0,2,0,3,1,1,6,3,1,0,2,2005,-1,2,453,0,0,0,38,144,0,0,0,0,-3,-2,-3,0,4,2006,5,3,176000
2471,531363080,20,1,74,7733,1,-1,0,1,1,2,1,-9,2,2,2,3,6,5,2005,2005,2,2,-5,-5,-1,0,0,0,1,0,0,0,3,24,-2,0,1118,1142,1,2,1,2,1142,0,0,1142,0,0,1,1,3,1,1,5,3,0,-3,-3,1978.132443,-2,0,0,-3,-3,0,4,50,0,0,0,0,-3,-2,-3,0,1,2006,5,3,139500
2481,531452080,120,1,50,7175,1,-1,1,1,1,2,1,-9,2,2,-1,3,6,5,1990,1991,2,2,-1,-1,-1,0,1,0,1,1,0,-1,3,904,-2,0,494,1398,1,1,1,2,1398,0,0,1398,1,0,2,0,2,1,1,5,3,0,-3,2,1990,0,2,542,0,0,0,0,46,0,0,0,0,-3,1,-3,0,7,2006,5,3,172000
2482,531452100,120,1,50,7175,1,-1,1,1,1,2,1,-9,2,2,-1,3,6,5,1991,1991,2,2,-1,-1,-1,0,1,0,1,1,0,-1,3,278,-2,0,939,1217,1,1,1,2,1217,0,0,1217,0,0,2,0,2,1,1,5,3,0,-3,2,1991,0,2,484,0,0,0,0,64,0,0,0,0,-3,-2,-3,0,6,2006,5,3,151000
2483,531452210,60,1,69.22459,9019,1,-1,0,1,1,2,1,-9,-4,2,2,0,6,5,1994,1994,2,2,-5,-5,-1,0,0,0,1,1,0,-1,2,274,-2,0,362,636,1,2,1,2,636,684,0,1320,0,0,2,1,3,1,1,6,3,0,-3,2,1994,1,2,472,0,0,0,0,40,0,0,0,0,-3,-2,-3,0,7,2006,5,3,150000
2484,531478010,20,0,69.22459,8900,1,-1,1,1,1,2,1,-9,2,2,2,3,4,4,1966,1966,2,2,3,3,-1,0,0,0,2,0,0,-1,0,1056,-2,0,0,1056,1,0,1,2,1056,0,0,1056,1,0,1,0,2,1,0,5,3,0,-3,-2,1966,-1,1,384,0,0,0,0,42,0,0,0,0,-3,1,-3,0,11,2006,5,3,107000
2486,532351060,20,1,70,9100,1,-1,1,1,1,2,1,-8,-4,2,2,3,5,4,1962,1962,0,2,-6,-6,1,51,0,0,2,0,0,-1,-1,36,-2,0,952,988,1,2,1,2,988,0,0,988,1,0,1,0,3,1,0,6,3,0,-3,-2,1977,-1,2,624,0,0,0,0,0,0,0,0,0,-3,-2,-3,0,7,2006,5,3,129500
2489,532353030,20,1,69.22459,9240,1,-1,0,1,1,2,1,-8,2,2,2,3,5,6,1962,2002,0,2,3,3,-1,0,0,0,2,0,0,-1,1,612,-2,0,252,864,1,1,1,2,1211,0,0,1211,0,0,1,0,2,1,0,6,2,1,0,-2,1972,-1,2,576,0,0,0,161,0,0,0,0,0,-3,1,-3,0,3,2006,5,3,144000
2490,532353180,80,1,88,8471,1,-1,0,1,1,1,1,-8,2,2,2,-4,6,7,1977,1995,2,2,3,-1,1,46,0,0,2,1,1,1,2,506,-2,0,0,506,1,0,1,2,1212,0,0,1212,1,0,1,0,3,1,0,6,3,1,0,2,1978,-1,2,492,0,0,0,292,12,0,0,0,0,-3,0,-3,0,7,2006,5,3,151000
2491,532376080,20,1,69.22459,9308,1,-1,0,1,1,0,1,-8,-3,2,2,3,5,5,1965,1965,2,2,3,3,-1,0,0,0,2,0,0,-1,0,554,-2,0,430,984,1,0,1,2,984,0,0,984,0,0,1,0,3,1,0,5,3,0,-3,2,1965,-1,1,310,0,0,0,0,0,0,0,0,0,-3,1,-3,0,7,2006,5,3,126000
2492,532376180,20,1,65,8450,1,-1,1,1,1,2,1,-8,-4,2,2,3,5,6,1968,1968,2,2,-1,-1,1,90,0,0,2,0,0,-1,1,162,0,270,450,882,1,0,1,2,909,0,0,909,0,0,1,0,3,1,0,5,3,0,-3,2,1968,-1,1,294,0,0,0,0,155,0,0,0,0,-3,1,-3,0,11,2006,1,3,116000
2493,532376250,20,1,69.22459,8638,1,-1,0,1,1,2,1,-8,-4,2,2,3,5,6,1963,1963,2,2,3,3,-1,0,0,0,1,0,0,-1,2,181,-2,0,744,925,1,1,1,2,925,0,0,925,1,0,1,0,2,1,0,5,3,0,-3,-2,1990,-1,2,484,0,0,0,203,74,0,0,0,0,-3,-2,-3,0,10,2006,5,3,133500
2494,532378050,20,1,69.22459,13052,1,-1,0,1,1,0,1,-8,2,2,2,3,5,6,1965,1965,2,2,3,3,-1,0,0,0,2,0,0,-1,0,712,-2,0,312,1024,1,0,1,2,1024,0,0,1024,0,0,1,1,3,1,0,5,3,0,-3,2,1965,-1,1,308,0,0,0,0,0,0,0,0,0,-3,1,-3,0,1,2006,5,3,120875
2495,532378070,20,1,69.22459,13526,1,-1,0,1,1,0,1,-8,2,2,2,3,5,6,1965,1965,0,2,3,-1,1,114,0,0,2,0,0,-1,1,560,-1,375,0,935,1,0,1,2,935,0,0,935,1,0,1,0,3,1,0,5,3,0,-3,2,1965,-1,1,288,0,0,0,180,0,0,0,0,0,-3,1,-3,0,11,2006,5,3,137000
2496,532378130,20,1,69.22459,8020,1,-1,0,1,1,2,1,-8,2,2,2,3,5,6,1964,1964,2,2,3,3,-1,0,0,0,2,0,0,-1,2,644,-2,0,268,912,1,0,-1,2,912,0,0,912,0,0,1,0,3,1,0,6,3,0,-3,-3,1978.132443,-2,0,0,-3,-3,0,0,0,0,0,0,0,-3,0,-3,0,4,2006,5,3,124000
2497,532378160,20,1,65,6993,1,-1,1,1,1,2,1,-8,3,2,2,3,5,7,1961,1994,2,2,3,-1,-1,0,0,0,2,0,0,-1,1,465,-2,0,447,912,1,0,1,2,1236,0,0,1236,0,0,1,0,3,1,0,6,3,1,0,2,1961,-1,1,288,0,0,0,0,0,0,0,0,0,-3,-2,-3,0,6,2006,5,3,135000
2498,532378220,20,1,69.22459,8789,1,-1,0,1,1,2,1,-8,2,2,2,3,5,6,1967,1967,2,2,-5,-5,-1,0,0,0,2,0,0,0,0,659,-2,0,253,912,1,0,1,2,941,0,0,941,0,0,1,0,3,1,0,6,3,1,-2,2,1967,-1,1,288,0,0,0,64,0,0,0,0,0,-3,-2,-3,0,6,2006,5,3,129200
2505,533206040,120,-2,34,3628,1,1,1,1,1,2,1,-10,2,2,-1,3,7,5,2004,2004,2,2,1,1,-1,0,1,0,1,1,0,-1,-2,0,-2,0,1143,1143,1,2,1,2,1143,0,0,1143,0,0,1,1,1,1,1,5,3,1,1,2,2004,0,2,588,0,0,0,0,191,0,0,0,0,-3,-2,-3,0,5,2006,5,3,176400
2506,533208050,120,-2,37,3316,1,1,0,1,1,2,1,-10,2,2,-1,3,8,5,2005,2005,2,2,1,1,-1,0,1,0,1,1,0,-1,3,1039,-2,0,208,1247,1,2,1,2,1247,0,0,1247,1,0,1,1,1,1,1,4,3,1,1,2,2005,1,2,550,0,0,0,0,84,0,0,0,0,-3,-2,-3,0,4,2006,5,3,197000
