'Overall Qual','Overall Cond','Year Built','Year Remod/Add','Exter Qual',Foundation,'Bsmt Qual','Bsmt Exposure','BsmtFin Type 1','BsmtFin SF 1','Total Bsmt SF','Heating QC','Central Air','1st Flr SF','Gr Liv Area','Garage Yr Blt','Garage Finish','Garage Cars','Garage Area',SalePrice
5,6,1961,1961,0,2,0,-1,0,468,882,0,1,896,896,1961,-1,1,730,105000
6,6,1958,1958,0,2,0,-1,2,923,1329,0,1,1329,1329,1958,-1,1,312,172000
8,5,2001,2001,1,1,1,0,3,616,1338,2,1,1338,1338,2001,1,2,582,213500
8,5,1992,1992,1,1,1,-1,2,263,1280,2,1,1280,1280,1992,0,2,506,191500
6,7,1992,2007,0,1,1,-1,2,935,1168,2,1,1187,1187,1992,1,2,420,185000
6,5,1998,1998,0,1,1,-1,-2,0,789,1,1,789,1465,1998,1,2,393,180400
7,5,1990,1990,0,1,1,2,3,637,1300,1,1,1341,1341,1990,-1,2,506,171500
4,5,1951,1951,0,2,0,-1,-1,120,864,2,1,864,864,1951,-1,2,400,141000
6,7,1970,1970,0,2,0,-1,2,578,1004,2,1,1004,1004,1970,1,2,480,149000
5,6,1971,2008,0,2,0,-1,3,734,1078,2,1,1078,1078,1971,1,2,500,149900
5,6,1968,1968,0,2,0,-1,1,775,1056,2,1,1056,1056,1968,-1,1,304,142000
4,5,1970,1970,0,2,0,-1,2,804,882,0,1,882,882,1970,1,2,525,126000
4,5,1971,1971,0,2,0,-1,2,432,864,0,1,864,864,1978.132443,-2,0,0,115000
7,5,1999,1999,1,1,1,-1,3,1051,1405,2,1,1337,1337,1999,1,2,511,184000
6,5,1971,1971,0,2,0,-1,0,156,483,0,1,483,987,1971,-1,1,264,96000
5,5,1971,1971,0,2,0,-1,0,300,525,0,1,525,1092,1997,-1,1,320,105500
6,5,1977,1977,0,2,1,-1,2,360,1069,0,1,1069,1069,1977,0,2,440,127500
6,6,1975,1975,0,2,0,-1,2,514,855,0,1,855,1456,1975,-1,2,440,149900
7,6,1975,1975,0,2,1,-1,-2,0,836,2,1,836,836,1975,-1,1,308,120000
6,5,1978,1978,0,2,1,-1,2,311,855,-1,1,855,1456,1978,-1,2,440,146000
8,5,2006,2006,1,1,1,0,3,24,1370,2,1,1370,1370,2006,0,2,484,205000
6,5,2005,2005,1,1,1,-1,-2,0,1324,2,1,1324,1324,2005,1,2,430,199500
7,5,2006,2006,1,1,1,1,3,16,1145,2,1,1145,1145,2006,1,2,437,160000
8,5,2004,2005,1,1,1,-1,3,24,1256,2,1,1269,1269,2004,1,2,430,192000
7,5,2004,2004,1,1,1,-1,3,326,384,2,1,744,1374,2004,1,2,400,184500
7,5,2000,2000,0,1,1,-1,3,250,384,2,1,774,1430,2000,1,2,400,180000
6,5,2005,2005,1,1,2,-1,3,1414,1468,2,1,1468,1468,2005,1,2,528,271500
6,5,1980,1980,0,2,1,-1,1,543,923,0,1,923,923,1980,0,1,264,143000
6,5,1979,1979,0,2,1,-1,-2,0,918,0,1,918,918,1979,-1,1,264,99500
6,5,1984,1984,0,2,1,-1,2,623,744,0,1,752,752,1984,-1,1,264,125000
6,5,1984,1985,0,1,1,-1,3,338,1040,0,1,1097,1097,1986,-1,2,480,152000
5,5,1920,1950,0,3,0,-1,-2,0,816,0,-1,1012,1012,1920,-1,1,429,67500
5,7,1961,1995,0,2,0,1,2,899,1109,0,1,1155,1155,1987,-1,2,576,148000
5,8,1965,2009,0,2,0,-1,3,553,894,2,1,894,894,1973,-1,1,336,138500
5,5,1967,1967,0,2,0,-1,1,450,882,0,1,900,900,1970,-1,1,280,122000
5,5,1963,1963,0,2,0,-1,2,824,1040,-1,1,1040,1040,1963,1,1,308,133000
5,8,1962,2010,0,2,0,-1,2,659,1040,2,1,1040,1040,1962,-1,1,260,127000
7,5,2004,2005,1,1,2,1,3,1298,1488,2,1,1488,1488,2004,1,2,506,260000
7,5,2004,2004,1,1,1,1,3,280,600,2,1,600,1200,2004,0,2,480,155000
7,5,2004,2005,1,1,1,-1,-2,0,600,2,1,600,1200,2004,0,2,480,151000
7,5,2004,2005,1,1,1,-1,3,368,600,2,1,600,1200,2004,0,2,480,149500
6,5,2005,2005,1,1,1,-1,3,376,600,2,1,600,1236,2005,0,2,480,152000
7,5,1999,1999,1,1,1,-1,2,604,696,2,1,696,1416,1999,-1,2,484,155000
7,5,2003,2003,1,1,1,-1,3,244,530,2,1,530,1080,2003,0,2,496,147110
8,5,1980,1980,1,2,1,2,3,728,728,0,1,788,788,1980,1,2,484,155000
8,6,1978,1978,1,2,1,2,3,1052,1226,0,1,1226,1226,1978,1,2,484,206000
6,8,1976,2005,1,2,0,-1,3,533,725,2,1,725,1479,1976,0,2,475,130500
7,5,2002,2002,1,1,1,-1,3,833,1492,2,1,1492,1492,2002,0,2,596,230000
6,7,1972,2006,0,2,0,-1,2,982,1161,0,1,1381,1381,1972,0,2,676,197500
5,5,1966,1966,0,2,0,-1,0,698,1232,0,1,1232,1232,1966,0,2,490,142250
6,5,1963,1963,0,2,0,-1,2,569,1328,0,1,1328,1328,1963,-1,2,528,143000
4,5,1959,1959,0,2,0,-1,2,569,950,-1,1,1225,1225,1978.132443,-2,0,0,128950
5,5,1966,1966,0,1,1,-1,1,1059,1209,1,1,1209,1209,1966,0,2,504,159000
5,7,1964,1964,0,1,0,1,3,1014,1152,0,1,1152,1152,1964,0,2,484,180500
5,6,1950,1996,0,2,0,0,3,49,1078,1,1,1078,1078,1950,-1,1,240,142125
5,7,1958,2008,0,2,0,2,1,696,858,1,1,858,858,1978.132443,-2,0,0,116500
3,2,1940,1966,0,2,0,-1,-2,0,728,2,1,1306,1306,1978.132443,-2,0,0,76500
5,5,1954,1954,0,2,0,-1,0,354,1056,0,1,1063,1063,1954,0,1,280,128000
5,6,1954,1954,0,1,0,-1,-1,540,1268,1,1,1268,1268,1954,1,1,244,132000
6,8,1966,2008,0,2,0,2,3,944,1080,1,1,1128,1128,1966,-1,1,315,178000
7,5,2003,2009,1,1,1,-1,3,1188,1480,2,1,1480,1480,2003,0,2,620,214000
5,5,1959,1959,0,2,0,-1,1,856,1143,0,1,1143,1143,1959,0,1,308,136000
5,6,1957,1957,0,2,0,-1,0,922,1314,0,1,1314,1314,1957,0,1,294,145000
6,6,1959,1959,0,2,0,-1,-2,0,1194,0,1,1194,1194,1959,0,1,312,148000
5,5,1960,1960,0,2,0,-1,0,697,1268,0,1,1264,1264,1960,-1,2,461,167500
5,5,1959,1959,0,2,0,-1,0,936,1206,-1,1,1206,1206,1959,0,1,312,108538
4,5,1956,1956,0,2,0,-1,-2,0,832,0,1,832,1337,1956,-1,1,263,108000
5,7,1952,1952,0,2,0,-1,1,339,864,0,1,1064,1064,1952,-1,1,318,135000
5,6,1955,1955,0,2,0,-1,0,648,972,0,1,972,972,1955,-1,1,305,122500
4,7,1920,1994,0,3,0,-1,-2,0,576,1,1,985,985,1989,-1,2,676,105000
5,7,1955,2007,0,0,-3,-2,-3,0,0,2,1,827,827,1967,-1,1,392,107500
5,7,1954,2003,0,2,0,-1,2,320,1086,1,1,1086,1086,1989,-1,2,490,144900
5,7,1956,2000,0,2,0,-1,1,248,936,2,1,936,936,1956,1,1,308,129000
6,5,1980,1980,0,2,0,-1,3,1056,1056,1,1,1056,1056,1980,-1,2,576,144000
5,7,1959,2006,0,2,0,-1,2,72,1063,2,1,1287,1287,1997,1,2,576,162000
6,8,1948,2004,0,2,0,-1,2,481,816,0,1,816,1224,1950,-1,1,280,132000
5,7,1959,1994,0,2,0,-1,-1,340,1246,2,1,1246,1246,1959,0,1,305,154000
5,4,1952,1952,0,2,0,-1,0,507,910,-1,1,910,1385,2000,-1,2,720,166000
5,7,1951,2000,0,2,0,0,1,234,900,0,1,900,900,2005,-1,2,576,134800
6,6,1962,1962,0,2,0,-1,-2,0,1116,0,1,1116,1116,1962,-1,2,440,160000
5,6,1960,1960,0,2,0,-1,0,588,1175,2,1,1175,1175,1960,0,2,484,148000
6,7,1963,1984,0,2,0,2,1,717,1395,0,1,1395,1395,1963,0,2,440,192000
4,7,1910,2004,0,3,0,-1,-2,0,576,1,1,792,1140,1978.132443,-2,0,0,96500
5,7,1920,1950,0,1,0,-1,1,579,936,0,1,936,936,1978.132443,-2,0,0,109500
5,6,1927,1950,0,2,0,-1,-2,0,1008,1,1,1028,1028,1927,-1,2,360,115000
5,7,1957,1957,0,2,0,0,1,274,1347,1,1,1347,1347,1957,-1,2,551,143000
4,6,1945,1950,0,2,0,-1,-2,0,747,0,1,747,747,1945,-1,1,220,80000
5,7,1929,2001,0,3,0,-1,-1,234,926,0,1,926,1316,1974,-1,2,484,130000
6,7,1938,2000,0,1,1,-1,-2,0,827,1,1,827,1251,1938,-1,1,240,119000
5,6,1920,1962,0,3,0,-1,0,176,1008,0,1,1060,1245,1962,-1,1,315,100000
6,8,1928,2003,0,3,0,-1,-2,0,624,1,1,720,720,2005,-1,2,484,105900
6,7,1957,1996,0,2,0,-1,3,600,912,0,1,1236,1236,1957,-1,2,923,149700
4,7,1910,1950,0,2,-1,-1,-2,0,622,1,1,741,1363,1966,-1,2,528,125500
6,7,1922,1994,0,2,-1,-1,0,283,738,2,1,868,1470,1970,-1,2,624,140750
4,7,1925,1950,0,3,0,-1,0,188,765,0,-1,765,765,1926,-1,1,200,87000
6,6,1940,1950,0,2,0,-1,-1,264,572,2,1,848,1196,1973,-1,2,576,128000
5,6,1942,1950,0,2,0,-1,0,360,835,0,1,955,1453,1942,-1,1,240,132000
6,7,1948,1950,0,2,0,-1,0,300,780,0,1,780,1416,1948,-1,1,312,139900
5,7,1936,1980,0,2,0,-1,0,276,528,1,1,548,1040,1979,1,2,624,123900
6,5,1923,1950,0,3,-1,-1,2,960,1124,0,1,1068,1068,1923,-1,1,288,109500
6,8,1920,1993,0,3,0,-1,-2,0,662,2,1,662,1324,1920,-1,1,180,122000
5,5,1963,1963,-1,2,1,2,-1,104,816,0,-1,816,816,1963,-1,2,516,110000
4,5,1930,1950,-1,0,-3,-2,-3,0,0,-1,-1,372,1092,1978.132443,-2,0,0,55000
5,3,1917,1950,0,3,1,-1,-2,0,689,1,-1,725,1224,1917,-1,1,180,107500
5,4,1915,1950,-1,3,0,-1,0,1026,1212,0,-1,1212,1392,1978.132443,-2,0,0,100000
6,5,1940,1950,0,2,-1,-1,-1,368,600,2,-1,600,919,1940,-1,1,231,95000
5,8,1875,1996,0,2,0,-1,-2,0,780,1,-1,780,1020,1978.132443,-2,0,0,94000
5,4,1965,1965,0,1,0,0,1,841,1039,2,1,1039,1039,1965,-1,2,504,131500
5,6,1957,1996,0,2,1,-1,2,1302,1392,0,1,1392,1392,1957,-1,2,528,121500
5,5,1967,1967,0,2,0,-1,2,842,912,0,1,912,912,1974,-1,1,336,125000
5,8,1968,2001,0,2,0,0,0,188,1060,2,1,1060,1060,1968,-1,1,270,154000
5,7,1966,2008,0,2,0,0,1,240,864,2,1,892,892,1966,-1,1,416,137900
6,7,1969,1969,0,2,0,-1,2,371,663,0,1,663,1352,1969,1,1,299,158000
5,5,1968,1968,0,2,0,-1,3,775,864,2,1,864,864,1969,-1,1,280,137250
5,5,1978,1978,0,2,1,1,3,1319,1319,0,1,1373,1373,1978,1,2,591,160250
5,5,1968,1968,0,2,0,-1,0,267,720,2,1,720,1440,1968,-1,2,480,163000
7,7,1977,2001,1,2,1,2,2,1092,1420,1,1,1483,1483,1977,0,2,690,270000
4,4,1927,1950,0,3,-1,-1,-2,0,660,0,-1,756,756,1945,-1,2,440,85000
4,7,1950,1995,0,2,1,-1,1,442,1067,0,1,1067,1067,1996,-1,2,436,128000
6,7,1950,1987,0,2,0,-1,3,104,663,2,1,1074,1074,1987,-1,1,467,144500
5,6,1956,1956,0,2,0,1,1,739,1144,0,1,1144,1144,1956,-1,1,596,129000
5,7,1954,1998,0,2,0,1,1,954,1172,0,1,1172,1172,1954,1,1,366,128000
6,5,2009,2009,0,1,1,0,3,36,1212,2,1,1212,1212,2009,0,2,460,186000
5,3,1964,1964,0,2,0,0,-2,0,1250,2,1,1298,1298,1964,-1,2,504,114000
7,5,1987,1987,1,2,1,2,3,1433,1433,2,1,1433,1433,1987,0,2,528,270000
6,6,1992,1992,0,1,1,1,3,747,936,2,1,996,996,1992,-1,2,564,147000
7,5,2006,2006,1,1,1,1,3,686,1187,2,1,1208,1208,2006,0,2,632,206000
7,5,2009,2009,0,1,1,-1,-2,0,1226,2,1,1226,1226,2009,0,3,740,198900
7,5,2010,2010,1,1,1,-1,3,24,1222,2,1,1222,1222,2009,0,2,615,187000
6,8,1900,1993,0,1,-1,-1,-2,0,676,0,1,831,1445,1957,-1,2,484,138500
6,7,1971,1971,0,2,0,1,3,504,1010,1,1,1052,1052,1971,-1,2,440,155000
5,5,1996,1996,0,1,1,1,3,870,870,1,1,965,965,1998,-1,2,580,159000
5,8,1977,2004,1,2,1,-1,3,198,1026,2,1,1026,1026,1977,-1,1,308,150000
6,7,1977,1977,0,2,1,-1,3,378,689,2,1,689,1392,1977,1,1,299,161750
5,6,1976,1976,0,2,0,1,-1,182,894,0,1,894,894,1976,-1,1,308,128200
5,6,1972,1972,0,2,0,1,2,480,876,0,1,876,876,1977,-1,2,484,127000
6,5,2003,2003,1,1,1,1,3,672,848,2,1,848,848,2003,1,2,420,143750
6,5,2004,2004,1,1,1,1,3,662,848,2,1,848,848,2004,0,2,420,143000
7,5,2004,2005,1,1,1,1,3,712,1473,2,1,1484,1484,2004,0,2,606,213000
7,5,2004,2004,1,1,1,1,3,24,1414,2,1,1414,1414,2004,0,2,494,185500
3,6,1945,2007,0,2,-3,-2,-3,0,0,0,-1,640,640,1945,-1,1,240,84900
5,6,1968,1968,0,2,1,2,2,1070,1196,0,1,1196,1196,1968,0,1,336,144000
6,6,1975,1975,0,2,0,1,2,528,1008,0,1,1096,1096,1975,-1,1,352,125200
4,5,1958,1958,0,2,0,-1,-2,0,960,2,1,960,960,1978.132443,-2,0,0,90000
4,5,2003,2004,0,1,1,-1,-2,0,1121,2,1,1121,1121,2003,0,2,440,140000
6,4,1945,1950,0,2,0,-1,-1,94,735,0,1,798,1487,1949,-1,1,220,113000
4,4,1941,1950,0,3,1,-1,1,348,672,-1,-1,672,924,1941,-1,1,280,80000
5,6,1924,1999,0,3,0,0,0,133,1107,-1,-1,1296,1296,1979,-1,1,260,104000
3,3,1914,1950,0,3,0,-1,0,203,864,0,-1,864,864,1938,-1,1,200,58500
6,6,1939,1950,0,2,0,-1,0,238,856,0,1,856,856,1939,-1,2,399,126000
8,6,1989,1989,1,2,1,2,3,747,982,1,1,1034,1034,1989,1,2,598,185000
8,5,1989,1989,1,2,1,1,3,76,1191,1,1,1191,1191,1989,-1,2,531,162500
4,8,1922,2007,0,3,0,-1,1,735,796,1,1,796,1154,1922,-1,1,240,125500
2,5,1941,1950,0,3,0,-1,1,480,480,0,1,540,540,1951,-1,1,200,82000
6,5,1921,1975,0,3,0,0,1,308,629,-1,1,727,1107,1950,-1,1,625,110000
6,7,1977,1977,0,2,0,-1,2,679,1243,0,1,1285,1285,1977,-1,2,473,190000
6,5,1976,1976,0,2,0,1,3,539,1012,0,1,1034,1034,1976,-1,3,888,169900
7,5,2008,2008,1,1,1,-1,3,78,1336,2,1,1346,1346,2008,1,3,660,220000
5,5,2006,2007,0,1,1,-1,-2,0,384,1,1,744,1444,2007,1,2,400,174000
5,5,1965,1977,0,2,0,-1,0,42,1068,0,1,1264,1264,1965,-1,2,528,169000
5,5,2004,2005,0,1,2,1,-2,0,1430,2,1,1430,1430,2004,0,2,624,173500
5,5,1999,1999,0,1,1,-1,-2,0,1344,2,1,1344,1344,2001,-1,2,686,166500
4,5,1973,1973,0,2,0,-1,1,334,546,0,1,546,1092,1973,0,1,286,83500
5,6,1973,1973,0,2,1,2,3,915,945,2,1,945,945,1973,0,1,253,119500
5,3,1976,1976,0,2,1,-1,0,129,536,0,1,536,1112,1976,-1,1,336,85000
4,7,1970,1970,0,2,0,-1,3,176,546,2,1,546,1092,1978.132443,-2,0,0,76000
4,6,1972,1972,0,2,1,1,-1,150,630,2,1,630,630,1978.132443,-2,0,0,75500
4,4,1970,1970,0,2,0,-1,-2,0,546,2,1,546,1092,1978.132443,-2,0,0,88250
4,6,1972,1972,0,2,0,-1,0,294,546,0,1,546,1092,1972,-1,1,286,85500
5,7,1971,2004,0,2,0,-1,2,469,864,2,1,874,874,1971,-1,1,352,130000
5,7,1962,1962,0,2,0,-1,0,593,1188,0,1,1188,1188,1962,-1,1,312,157900
5,7,1984,1984,0,2,1,0,0,207,833,0,1,833,833,1984,-1,2,495,149900
5,5,1991,1991,0,1,1,-1,0,458,624,1,1,624,1274,1993,-1,2,576,136000
5,5,1969,1969,0,2,0,1,1,476,864,0,1,864,1479,1969,1,1,275,161000
6,5,1956,1956,0,2,-1,-1,0,564,882,0,1,882,882,1956,-1,1,502,124500
6,5,1974,1974,0,2,0,-1,-1,844,1434,0,1,1434,1434,1974,0,2,528,157000
7,5,1995,1996,0,1,1,-1,-2,0,384,1,1,804,1474,1995,1,2,400,168500
8,5,1998,1998,0,1,1,1,3,341,1418,2,1,1478,1478,1998,1,2,495,240000
7,5,1998,1998,1,1,1,-1,3,189,384,1,1,751,1382,1998,1,2,396,177500
6,8,1993,1993,2,1,1,-1,2,310,680,1,1,680,1470,1993,1,2,420,185000
6,5,1993,1993,0,1,1,-1,-2,0,1181,2,1,1190,1190,1993,-1,2,430,166000
6,5,1994,1995,0,1,1,-1,-2,0,702,1,1,702,1481,1994,1,2,343,174000
6,6,1992,1992,0,1,1,-1,3,560,1158,1,1,1167,1167,1992,0,2,400,173000
7,5,1990,1990,0,1,1,-1,-2,0,1424,2,1,1442,1442,1990,0,2,500,180500
7,5,1980,1980,0,2,1,1,3,1036,1372,0,1,1472,1472,1980,-1,2,588,187500
6,6,1974,1974,0,2,0,-1,2,888,1116,2,1,1116,1116,1974,0,2,528,167900
7,5,1975,1975,0,2,0,-1,2,636,1176,-1,1,1193,1193,1975,-1,2,506,158000
6,5,1974,1974,0,2,1,-1,-2,0,1064,0,1,1350,1350,1974,0,2,478,165000
5,6,1970,1970,0,2,0,-1,1,828,1002,0,1,1002,1002,1973,-1,2,902,148500
6,8,1969,2005,0,2,0,-1,3,439,1026,1,1,1026,1026,1969,0,2,440,156000
5,5,1970,1970,0,2,0,-1,-2,0,1180,0,1,1180,1180,1970,0,2,477,128000
5,7,1971,1971,0,2,1,-1,2,500,1043,2,1,1050,1050,1971,-1,1,336,143000
4,6,1970,1970,0,2,0,-1,2,375,864,0,1,864,864,1989,-1,2,660,120500
4,7,1970,1970,0,2,0,-1,2,191,864,2,1,864,864,1994,-1,2,463,124500
4,7,1971,2006,0,2,0,-1,2,240,864,1,1,864,864,1986,-1,2,576,130000
6,5,1973,1973,0,2,0,-1,1,254,483,0,1,483,987,1973,-1,1,264,111000
5,6,1970,1970,0,2,0,-1,-1,765,765,0,1,765,1365,1970,-1,2,440,125000
6,6,1972,1972,0,2,0,-1,0,110,483,0,1,483,987,1972,-1,1,288,97000
6,8,1972,2007,0,2,0,-1,2,162,483,1,1,483,987,1972,-1,1,264,118000
5,7,1972,1972,0,2,0,-1,2,231,630,0,1,630,1302,1972,-1,1,264,119500
6,6,1976,1976,0,2,1,-1,-1,958,958,0,1,958,958,1976,0,2,440,143750
6,6,1976,1976,0,2,1,-1,2,566,855,0,1,855,1456,1976,-1,2,440,148500
7,5,1975,1975,0,2,1,-1,2,435,1057,0,1,1055,1055,1975,0,2,440,123000
6,5,1974,1974,0,2,0,-1,2,257,855,0,1,855,1322,1974,-1,2,440,147000
6,5,1977,1977,0,2,1,-1,2,389,855,0,1,855,1456,1977,-1,2,440,137900
6,6,1978,1978,0,2,0,-1,2,311,855,0,1,855,1441,1978,-1,2,440,148500
6,5,1978,1978,1,2,1,-1,2,279,855,0,1,855,1456,1978,1,2,440,138000
7,6,1976,1976,0,2,0,-1,2,536,836,0,1,836,836,1976,-1,1,345,128500
5,5,1967,1967,0,2,0,-1,1,432,892,0,1,892,892,1967,0,1,288,100000
5,7,1966,2004,1,1,0,-1,1,644,864,2,1,1120,1120,1966,0,2,656,148800
6,5,2005,2005,1,1,1,1,2,836,1358,2,1,1358,1358,2005,0,2,484,213000
6,5,2005,2005,1,1,1,1,2,900,1306,2,1,1306,1306,2005,0,2,624,196000
6,5,2005,2005,1,1,1,1,3,881,1306,2,1,1306,1306,2005,0,2,624,184500
7,5,2007,2008,1,1,1,-1,3,876,1350,2,1,1358,1358,2008,0,2,484,212500
7,5,2007,2008,1,1,1,-1,3,904,1314,2,1,1314,1314,2008,0,2,626,230000
9,5,2008,2008,2,1,2,-1,-2,0,1451,2,1,1456,1456,2008,0,2,539,248500
8,5,2006,2006,1,1,1,-1,3,863,1324,2,1,1324,1324,2006,1,2,550,254000
7,5,2003,2003,1,1,1,-1,-2,0,1405,2,1,1405,1405,2003,0,2,478,173000
7,5,2005,2005,1,1,1,-1,-2,0,728,2,1,728,1456,2005,1,2,390,184000
6,5,2005,2006,1,1,1,1,-2,0,745,2,1,745,1490,2005,1,2,392,167800
6,5,2005,2005,1,1,1,-1,-2,0,742,2,1,742,1484,2005,1,2,390,174000
7,5,2005,2006,1,1,1,1,3,16,1220,2,1,1220,1220,2005,1,2,397,180000
7,5,2005,2006,1,1,1,-1,3,16,1145,2,1,1145,1145,2005,1,2,397,160200
7,5,2004,2005,1,1,1,-1,3,425,716,2,1,716,1432,2004,1,2,432,188500
7,5,2004,2005,1,1,1,0,-2,0,384,2,1,744,1374,2004,1,2,400,170000
8,5,2002,2002,1,1,1,-1,3,353,408,2,1,779,1419,2002,1,2,527,184100
7,5,2003,2003,1,1,1,-1,3,652,782,2,1,806,1489,2003,1,2,400,192000
7,5,2003,2003,1,1,1,-1,3,494,698,2,1,698,1342,2003,1,2,393,178000
7,5,2007,2008,1,1,1,-1,3,904,1314,2,1,1314,1314,2008,0,2,626,207500
7,5,2004,2004,1,1,1,0,3,241,384,2,1,744,1374,2004,1,2,400,167000
7,5,1999,2000,0,1,1,-1,-2,0,384,2,1,774,1430,1999,0,2,400,156000
7,6,1999,1999,0,1,0,-1,-2,0,384,2,1,774,1430,1999,1,2,410,168000
8,5,2006,2006,1,1,2,1,3,379,1422,2,1,1432,1432,2006,1,2,492,245000
7,5,2008,2008,1,1,1,-1,-2,0,1402,2,1,1402,1402,2008,0,2,625,229800
8,5,2006,2007,1,1,1,-1,3,24,1372,2,1,1448,1448,2006,0,2,692,238500
7,5,2004,2005,1,1,1,-1,3,410,1221,2,1,1221,1221,2004,0,2,400,185000
7,6,2007,2007,1,1,1,-1,-2,0,1218,2,1,1218,1218,2007,0,2,576,159000
7,5,2006,2006,1,1,1,-1,3,54,1141,2,1,1141,1141,2006,0,2,484,152000
6,5,2004,2004,0,1,1,-1,-2,0,1158,2,1,1158,1158,1978.132443,-2,0,0,143500
7,5,2003,2003,1,1,1,-1,3,833,1176,2,1,1200,1200,2003,0,2,555,184900
7,5,2004,2005,1,1,1,-1,-2,0,1114,2,1,1114,1114,2005,-1,2,576,159000
5,5,2004,2004,0,1,1,-1,-2,0,1114,2,1,1114,1114,1978.132443,-2,0,0,142000
5,5,2003,2004,0,1,1,-1,3,836,1114,2,1,1114,1114,2004,-1,2,576,153000
7,5,2001,2001,1,1,1,-1,3,20,1454,2,1,1434,1434,2001,0,2,527,189000
6,6,1980,1980,0,2,1,-1,-2,0,626,0,1,626,1217,1980,0,1,288,120000
6,5,1990,1991,1,1,1,-1,-2,0,1332,1,1,1332,1332,1990,0,2,542,145000
6,7,1986,1986,0,2,1,-1,0,331,676,0,1,698,1400,1986,0,2,465,162000
4,4,1950,1950,-1,2,0,-1,-2,0,721,1,1,841,841,1950,-1,1,294,82000
6,3,1928,1950,0,3,-1,-1,-2,0,784,0,-1,784,784,1950,-1,2,360,76000
5,5,1962,1962,0,2,0,-1,-1,68,980,1,1,980,980,1969,-1,2,400,110000
5,6,1977,1977,0,2,0,-1,1,560,980,0,1,980,980,1986,-1,2,484,135000
5,6,1961,1961,0,2,0,-1,3,660,864,2,1,864,864,1982,-1,2,732,141000
5,5,1961,1961,0,2,0,-1,1,864,864,0,1,864,864,1961,-1,1,440,122000
5,8,1963,1995,1,2,0,-1,2,624,912,2,1,912,912,1963,0,1,300,129000
5,6,1961,1983,0,2,0,-1,1,594,864,2,1,1144,1144,1961,0,1,264,131400
5,5,1965,1965,0,2,0,-1,0,553,864,1,1,864,864,1965,-1,1,360,62383
5,6,1962,1962,0,2,0,-1,-1,140,912,1,1,912,912,1962,-1,1,252,123000
6,5,2008,2008,1,1,1,-1,3,962,1145,2,1,1256,1256,2008,1,2,641,195000
6,5,1999,1999,0,1,1,-1,3,381,729,1,1,742,1471,1999,-1,2,440,172500
7,5,1999,1999,1,1,1,-1,3,549,691,2,1,713,1452,1999,-1,2,506,156000
8,5,1981,1981,1,2,1,2,3,960,1226,0,1,1226,1226,1981,1,2,484,211500
6,6,1970,1970,0,2,0,-1,-2,0,1442,0,1,1442,1442,1970,0,2,615,185000
6,7,1968,1968,0,2,0,-1,-2,0,1489,1,1,1489,1489,1968,0,2,462,185750
6,6,1972,1972,0,2,0,-1,1,593,723,0,1,735,1395,1972,-1,2,497,162000
5,5,1969,1969,0,2,1,0,2,553,1288,0,1,1336,1336,1969,0,2,502,163000
6,5,1977,1977,0,2,1,-1,2,686,1350,0,1,1334,1334,1977,0,2,630,167900
5,6,1967,1967,0,1,0,-1,1,648,864,0,1,864,864,1967,1,1,312,130000
5,6,1965,1965,0,2,0,-1,1,338,925,2,1,925,925,1965,-1,1,429,117500
