'Overall Qual','Overall Cond','Year Built','Year Remod/Add','Exter Qual',Foundation,'Bsmt Qual','Bsmt Exposure','BsmtFin Type 1','BsmtFin SF 1','Total Bsmt SF','Heating QC','Central Air','1st Flr SF','Gr Liv Area','Garage Yr Blt','Garage Finish','Garage Cars','Garage Area',SalePrice
6,5,1971,1971,0,2,1,1,3,962,1232,-1,1,1320,1320,1971,0,2,495,172500
6,5,1967,1967,0,2,0,-1,0,251,1372,0,1,1342,1342,1967,-1,2,457,161500
4,7,1960,1960,0,2,0,-1,2,734,894,1,1,894,894,1988,-1,2,396,141500
5,7,1959,1959,0,2,0,-1,1,403,864,2,1,864,864,1960,-1,1,308,118000
6,6,1959,1959,0,2,0,-1,0,612,864,2,1,864,864,2008,-1,1,300,127500
4,5,1957,1957,0,2,0,-1,1,775,1040,0,1,1362,1362,1982,0,3,768,140000
5,6,1961,1995,0,2,0,-1,2,310,1313,0,1,1313,1313,1961,0,2,610,153000
5,6,1966,1966,0,2,0,0,1,740,1154,2,1,1154,1154,1966,0,2,480,154000
6,6,1964,1964,0,2,0,2,0,564,1127,0,1,1445,1445,1964,0,2,645,158000
5,6,1959,1959,0,2,0,-1,2,991,1041,2,1,1041,1041,1959,0,1,270,124500
5,5,1955,1955,0,2,0,-1,0,100,960,1,1,960,960,1955,0,1,330,122000
4,7,1940,1950,-1,2,0,-1,-1,280,420,1,1,708,708,1978.132443,-2,0,0,82500
5,4,1950,1950,0,2,0,-1,-1,185,709,0,1,979,1203,1950,-1,1,352,110000
5,6,1956,1956,0,2,0,-1,0,504,1050,1,1,1050,1050,1956,-1,1,338,128900
5,7,1950,2007,1,2,0,-1,2,607,1113,1,1,1113,1113,1950,-1,1,264,147000
6,6,1961,1961,0,2,0,-1,0,1312,1453,2,1,1453,1453,1961,0,2,530,187500
6,5,1963,1963,0,2,1,-1,1,609,1394,1,1,1394,1394,1963,0,2,514,159000
6,3,1968,1968,0,2,-1,-1,-2,0,1392,1,1,1392,1392,1968,0,2,576,110000
5,7,1956,1956,1,2,0,-1,2,856,1169,0,1,1144,1144,1956,0,1,286,150000
6,3,1957,1957,0,2,0,-1,2,189,1478,1,1,1478,1478,1957,0,2,442,156500
7,6,1960,1960,0,2,0,-1,1,544,1329,1,1,1329,1329,1960,-1,2,441,176000
6,8,1959,1998,1,2,0,-1,2,708,988,0,1,988,988,1959,-1,1,297,149500
6,7,1958,1998,0,2,0,-1,0,585,1215,0,1,1215,1215,1958,-1,1,297,155000
5,5,1955,1955,0,2,0,-1,0,172,1382,1,1,1382,1382,1955,-1,1,350,153000
6,5,1962,1962,0,2,0,2,0,672,1362,0,1,1382,1382,1991,-1,2,884,176000
5,6,1954,1990,0,2,0,-1,0,1213,1297,1,1,1297,1297,1954,1,2,498,153000
6,7,1954,1954,0,2,0,-1,2,490,1062,1,1,1062,1062,1954,-1,1,297,131000
5,6,1953,1953,0,1,0,-1,1,428,608,0,1,1319,1319,1953,-1,1,270,123000
5,5,1951,1951,0,2,0,-1,0,308,631,0,1,1112,1112,1951,-1,2,480,126000
4,5,1955,1955,0,2,0,-1,-2,0,1005,0,1,1005,1005,1977,-1,2,672,115000
5,7,1951,2000,1,2,0,-1,1,650,1008,2,1,1363,1363,1951,-1,1,288,164900
5,6,1945,1950,0,2,0,-1,1,700,793,0,1,793,793,1945,-1,1,240,113000
5,8,1952,2005,1,2,0,-1,3,931,1031,1,1,1031,1031,1952,-1,1,230,145500
5,5,1953,1953,0,0,-3,-2,-3,0,0,0,1,1210,1210,1953,1,1,616,102900
5,6,1950,1950,0,2,0,-1,1,390,1200,0,1,1200,1200,1950,1,1,246,129900
6,6,1948,2002,0,2,0,-1,2,680,972,2,1,972,972,1948,-1,1,240,132000
3,5,1958,1958,0,2,0,-1,-2,0,792,1,1,792,792,1958,-1,1,366,99900
5,7,1939,2006,0,3,0,-1,-2,0,676,2,1,676,1352,1939,-1,2,720,149000
4,8,1900,2003,1,3,-1,-1,-2,0,405,1,1,717,1039,1940,-1,1,281,114000
5,8,1924,2006,1,3,0,-1,-2,0,768,2,1,792,792,1924,-1,1,240,109500
5,7,1925,1950,0,3,0,-1,-2,0,1054,2,1,1078,1078,1987,-1,1,264,125000
2,5,1940,1950,-1,1,-1,-1,-2,0,416,1,-1,599,599,1978.132443,-2,0,0,59000
4,6,1920,1950,-1,1,0,-1,2,315,840,2,1,840,1374,1967,1,1,338,105000
5,7,1920,1950,0,3,0,-1,-2,0,720,0,-1,846,846,1980,1,2,576,106000
3,5,1890,1998,0,3,0,-1,-2,0,630,0,1,725,725,1959,-1,1,320,78500
6,7,1963,1963,0,2,0,-1,0,384,1380,-1,1,1380,1380,1963,-1,1,364,154000
6,4,1967,1967,-1,2,0,-1,1,872,1040,1,1,1040,1040,1967,0,2,480,163000
6,9,1958,2007,1,2,0,0,3,745,951,1,1,951,951,1985,-1,2,480,143500
6,6,1957,1957,0,2,0,-1,0,546,1105,1,1,1105,1105,1957,-1,1,308,135000
5,7,1957,2000,0,2,0,0,1,860,992,0,1,1306,1306,1968,-1,1,756,153000
6,5,1960,1960,0,2,0,-1,1,1270,1478,2,1,1478,1478,1960,-1,2,498,157500
6,6,1958,1958,0,2,1,2,-2,0,160,-1,1,1142,1142,1958,0,1,384,113500
5,7,1949,1950,1,2,0,-1,0,375,832,1,1,1036,1268,1949,-1,1,288,133000
3,4,1950,1950,0,0,-3,-2,-3,0,0,-1,-1,1040,1040,1987,-1,2,400,92900
4,5,1949,1950,0,0,-3,-2,-3,0,0,-1,-1,1040,1040,1956,-1,2,420,90000
5,6,1958,1958,0,2,0,-1,-2,0,1041,1,1,1041,1041,1958,0,1,294,128000
5,7,1952,1952,0,2,0,-1,2,630,732,0,1,732,732,1952,-1,1,240,118900
5,5,1959,1959,0,2,1,1,3,433,528,0,1,1183,1183,1959,0,1,288,138000
5,5,1959,1959,0,2,0,-1,1,1148,1148,0,1,1148,1148,1959,-1,1,672,132500
4,7,1949,1996,0,2,0,-1,-2,0,832,0,1,832,1461,1949,-1,1,384,133500
5,7,1978,1978,0,2,1,1,3,941,941,1,1,941,941,1978,-1,2,564,145000
6,6,1963,1963,0,2,0,-1,1,826,1045,0,1,1045,1045,1963,0,1,264,127000
5,5,1962,1962,0,2,0,-1,-2,0,894,1,-1,894,894,1962,-1,1,308,109500
6,8,1926,2004,0,2,0,-1,0,468,818,0,1,818,1224,1926,-1,1,210,115000
5,6,1910,1981,0,1,0,-1,-2,0,440,1,1,682,1230,1966,-1,2,440,110000
6,8,1935,1998,0,1,0,-1,-2,0,901,1,1,861,1378,1920,-1,1,162,128900
5,8,1910,2003,0,2,0,-1,-2,0,240,0,1,810,1306,1959,-1,2,472,130000
5,8,1910,2002,1,2,0,-1,-2,0,504,2,1,764,1464,1978.132443,-2,0,0,129000
7,8,1946,1992,0,2,0,-1,-2,0,651,1,1,707,1389,1947,-1,1,240,135000
5,5,1910,1950,0,3,-1,-1,-2,0,801,1,-1,801,1447,1978.132443,-2,0,0,103000
4,4,1953,1953,-1,2,-1,-1,-2,0,936,0,-1,936,936,1974,-1,2,576,93000
5,7,1950,1970,0,2,0,-1,1,384,768,0,1,768,1328,1950,-1,1,308,129500
5,4,1954,1954,0,2,0,-1,-2,0,811,0,1,811,1387,1954,-1,1,256,93000
4,6,1920,1950,0,3,-1,-1,-2,0,861,0,1,861,861,1920,-1,2,288,80000
2,4,1940,1950,0,3,-3,-2,-3,0,0,-1,-1,612,612,1965,-1,1,308,45000
5,8,1938,1996,0,3,-1,-1,-2,0,190,1,1,886,886,1938,-1,1,273,91300
5,8,1923,1950,1,1,-1,-1,-2,0,624,0,1,792,792,1963,-1,1,287,99500
5,7,1947,1950,0,2,0,-1,-1,312,720,0,1,720,1284,1948,-1,1,240,110000
6,7,1917,2007,0,3,0,-1,-2,0,624,2,1,664,1288,1917,-1,1,280,119000
4,3,1910,1950,0,3,0,-1,-2,0,624,2,1,816,816,1978.132443,-2,0,0,58500
7,9,1920,1988,0,1,0,-1,2,624,650,2,1,832,1482,1930,-1,2,324,143000
5,4,1910,2006,0,3,0,-1,2,247,1022,0,-1,1022,1022,1956,-1,1,280,85000
6,6,1923,1950,0,3,0,-1,-2,0,1022,0,-1,1432,1432,1923,-1,1,216,149000
6,6,1916,1950,0,3,0,-1,-2,0,952,-1,-1,952,952,1916,-1,1,192,121000
4,6,1936,1950,0,3,0,-1,1,672,672,0,1,757,1324,1936,-1,1,240,128000
6,9,1937,2000,1,3,0,-1,-2,0,698,0,1,786,1176,1999,-1,2,624,134900
5,8,1925,1997,0,3,0,-1,-2,0,884,2,1,884,1348,1960,-1,1,216,117000
6,6,1939,1950,0,2,0,-1,-2,0,780,2,1,825,1412,1939,-1,1,280,132500
5,5,1924,1950,0,3,0,-1,0,220,468,1,1,822,1142,1924,1,1,320,93000
6,7,1926,2004,1,1,0,-1,-2,0,884,1,1,904,904,1926,-1,1,180,119000
5,5,1924,1950,0,1,0,0,-1,405,1145,0,1,1301,1301,1965,-1,2,440,100000
2,3,1936,1950,-1,3,0,-1,-2,0,264,-1,-1,800,800,1978.132443,-2,0,0,60000
5,7,1931,1993,0,3,0,-1,1,209,715,0,1,875,875,1931,-1,1,180,105000
5,5,1925,1950,0,3,0,-1,-1,134,1072,0,1,1072,1072,1982,-1,5,1184,126500
4,5,1925,1950,0,2,0,-1,1,152,780,0,1,848,1208,1962,-1,2,539,103000
6,7,1915,2002,0,3,0,-1,-2,0,483,2,1,741,1427,1915,-1,1,379,123000
6,7,1915,1965,0,2,0,-1,0,276,698,2,1,754,1403,1915,-1,1,308,116000
4,9,1946,2001,0,2,-1,-1,-2,0,560,2,1,704,704,1946,-1,1,220,88750
5,5,1978,1978,0,1,1,2,3,1152,1152,0,1,1152,1152,1960,-1,1,252,159900
1,1,1922,1950,-1,3,-1,2,1,350,683,1,-1,904,904,1978.132443,-2,0,0,61000
6,6,1925,1950,0,3,0,-1,1,551,672,0,-1,697,1369,1930,-1,1,300,103600
5,3,1934,1950,0,1,0,-1,-2,0,585,0,-1,687,1112,1934,-1,1,226,63000
5,6,1963,1999,0,2,1,1,2,444,520,2,1,1464,1464,1997,0,2,480,175000
5,6,1963,1963,0,1,0,-1,0,651,1121,0,1,1121,1121,1963,-1,2,480,139000
5,7,1967,2004,0,1,0,-1,2,450,864,2,1,899,899,1967,1,1,288,130000
6,5,1978,1978,0,2,1,2,3,456,456,0,1,1034,1034,1978,1,2,504,149900
5,5,1982,1982,0,2,1,1,3,685,858,0,1,858,858,1983,-1,2,576,134900
5,6,1982,1982,0,2,0,1,2,672,840,0,1,860,860,1996,-1,2,528,137000
5,5,1962,1962,0,2,0,-1,-1,170,1092,0,1,1092,1092,1962,-1,1,288,139000
6,5,1960,1960,0,2,0,1,1,588,1138,2,1,1138,1138,1960,0,2,480,148000
2,2,1947,1950,0,0,-3,-2,-3,0,0,-1,-1,660,660,1978.132443,-2,0,0,63900
4,6,1956,1956,0,2,0,-1,2,1059,1134,2,1,1229,1229,1956,0,1,284,135000
4,5,1940,1950,0,2,0,-1,1,262,861,2,1,861,861,1961,-1,2,539,82500
4,5,1954,1954,0,2,-3,-2,-3,0,0,0,1,1383,1383,1980,-1,2,498,122000
5,5,1956,1956,0,2,0,-1,0,257,1073,0,1,1073,1073,1956,-1,1,340,121500
4,6,1941,1950,0,2,0,-1,0,344,672,0,1,672,672,1941,-1,1,234,113000
5,6,1954,1954,0,2,1,-1,1,173,1089,0,1,1089,1089,1954,0,1,252,125000
4,3,1957,1957,0,0,-3,-2,-3,0,0,2,-1,845,845,1957,-1,1,290,84000
5,5,1984,1984,1,2,1,0,3,552,1049,0,1,1049,1049,1984,1,1,266,139500
6,5,1939,1950,0,3,0,0,0,204,560,0,1,698,1258,1939,-1,1,280,105000
7,6,1990,1991,1,1,1,-1,3,460,1054,1,1,1061,1061,1990,-1,2,462,162000
6,5,1983,1983,1,2,1,1,0,70,520,1,1,1338,1338,1983,-1,2,576,156500
8,5,2008,2008,1,1,1,1,-2,0,1468,2,1,1468,1468,2008,0,3,904,239900
7,5,2007,2007,1,1,1,1,3,902,1282,2,1,1290,1290,2007,0,2,662,200000
8,5,2008,2008,1,1,1,1,3,872,1254,2,1,1254,1254,2008,0,3,810,221800
7,5,2007,2007,1,1,1,1,3,724,1232,2,1,1232,1232,2007,0,2,632,194500
8,5,2005,2006,1,1,2,2,3,24,1498,2,1,1498,1498,2005,1,3,844,237000
6,5,2005,2006,1,1,1,1,-2,0,704,2,1,704,1422,2005,1,2,440,173000
5,5,1996,1996,0,1,1,-1,3,732,1040,1,1,1040,1040,2000,-1,2,576,152000
5,7,1994,1994,0,1,0,-1,2,755,990,2,1,990,990,1995,0,1,440,143000
7,5,1998,1998,0,1,1,0,3,950,1463,2,1,1463,1463,1998,1,2,539,207000
5,5,1994,1995,0,1,1,-1,-2,0,1097,2,1,1097,1097,1995,-1,2,672,145000
5,5,1994,1995,0,1,1,-1,2,746,990,2,1,990,990,2000,-1,2,480,138000
7,5,1999,1999,1,1,1,1,3,560,1431,2,1,1431,1431,1999,1,2,666,192000
7,5,2001,2002,1,1,1,-1,-2,0,1413,2,1,1430,1430,2001,0,2,605,187100
7,5,2002,2001,1,1,1,-1,3,1259,1431,2,1,1444,1444,2002,0,2,577,203000
5,5,1978,1978,0,2,1,-1,0,616,1040,0,1,1040,1040,1978.132443,-2,0,0,124000
5,5,1978,1978,0,3,1,1,3,625,907,0,1,907,907,1978,-1,1,343,140000
5,7,1979,1979,0,2,0,-1,2,710,914,0,1,914,914,1979,-1,2,444,134900
5,7,1977,2008,0,2,1,0,-1,532,1040,0,1,1040,1040,1977,-1,2,484,150500
5,8,1978,2005,1,2,0,-1,2,646,864,2,1,864,864,1978,-1,1,336,136500
5,7,1977,1989,0,2,1,1,2,196,1268,0,1,1268,1268,1978,-1,1,252,143500
5,6,1972,1972,0,2,0,1,1,460,864,2,1,864,864,1972,-1,1,338,133500
5,5,1972,1972,0,2,0,1,0,777,894,0,1,894,894,1985,0,2,600,123000
5,8,1972,2003,0,2,1,1,3,660,768,1,1,768,768,1974,1,1,396,133900
5,7,1972,2007,0,2,1,1,3,656,768,0,1,768,768,1988,-1,2,396,133000
7,5,1997,1998,1,1,1,1,3,1111,1417,2,1,1417,1417,1997,-1,2,511,210000
7,5,2001,2001,1,1,1,-1,-2,0,1212,2,1,1212,1212,2001,0,2,573,178000
6,5,2003,2004,1,1,1,1,3,685,848,2,1,848,848,2003,1,2,420,144000
6,5,2003,2003,1,1,1,1,3,685,848,2,1,848,848,2003,1,2,420,140000
6,5,2005,2005,1,1,1,-1,3,193,738,2,1,738,1476,2005,1,2,540,173500
6,5,2007,2007,1,1,1,-1,-2,0,608,2,1,608,1396,2007,1,2,440,170000
4,5,1949,2003,0,2,-3,-2,-3,0,0,2,1,1126,1126,2002,1,2,520,108000
5,7,1964,1999,0,1,0,-1,1,637,1486,2,1,1486,1486,1968,1,2,480,167000
4,6,1938,1958,0,2,0,0,2,690,816,2,1,816,816,1958,-1,1,288,100000
6,6,1977,1977,0,2,0,-1,1,535,690,0,1,698,1426,1977,1,2,440,159500
4,6,1960,1971,0,2,0,-1,3,399,1014,0,1,1149,1149,1968,1,1,544,127000
6,5,2005,2006,0,-2,1,2,3,547,547,1,1,1072,1072,2005,1,2,525,145500
5,9,1947,2008,0,2,0,-1,-2,0,698,2,1,698,698,1978.132443,-2,0,0,118000
4,5,1959,1959,0,2,0,-1,-1,332,876,0,1,876,876,1959,-1,1,320,85000
5,5,1950,1950,0,2,-1,0,0,1078,1078,0,1,1368,1368,1950,0,1,195,120000
5,8,1922,1950,0,1,-1,-1,-2,0,864,2,1,864,864,1978.132443,-2,0,0,99900
3,3,1952,1952,0,0,-3,-2,-3,0,0,-1,-1,944,944,1956,-1,2,528,82000
6,8,1920,2000,0,3,0,0,-2,0,684,1,1,684,1196,2005,-1,2,528,110000
5,6,1941,1950,0,2,0,-1,0,626,720,2,1,854,1298,1940,-1,1,256,122000
2,5,1920,1950,0,2,0,-1,0,290,290,0,-1,438,438,1930,-1,1,246,60000
6,7,1940,1950,0,3,0,-1,-2,0,778,0,1,944,1489,1940,-1,1,240,139500
6,6,1935,1950,0,3,0,-1,-2,0,583,1,1,647,1242,1926,-1,1,180,105000
6,8,1916,2000,1,3,0,-1,-2,0,816,2,1,1232,1232,1916,-1,2,440,147500
7,9,1936,2007,1,1,1,-1,2,350,560,2,1,575,1135,1971,0,2,576,155000
7,7,1928,1950,0,3,0,-1,-2,0,861,1,1,877,1477,1928,-1,1,216,145000
7,8,1918,1990,0,3,0,0,-2,0,600,2,1,628,1228,1918,-1,1,215,137000
6,7,1942,1950,0,2,0,-1,1,547,771,-1,1,753,1494,1942,-1,1,213,177500
5,7,1940,1950,1,3,0,-1,0,428,728,2,1,976,1308,1940,-1,1,256,160000
5,4,1960,1960,0,2,0,-1,0,793,1273,2,1,1273,1273,1960,-1,1,307,155000
5,7,1921,2006,0,3,1,-1,2,713,876,2,1,964,964,1921,-1,2,432,163500
5,6,1921,1950,0,3,0,-1,-2,0,731,2,1,820,1343,1921,-1,1,186,154900
6,6,1980,1980,0,2,0,-1,-2,0,516,0,1,516,1032,1980,-1,2,452,115000
6,6,1980,1992,0,2,1,0,2,471,561,0,1,561,1229,1980,1,2,462,137000
6,6,1980,1980,0,2,1,-1,-2,0,561,0,1,561,1229,1980,1,2,462,121000
6,6,1980,1980,0,2,1,-1,2,285,561,0,1,561,1229,1980,1,2,462,124000
5,7,1920,1997,0,2,0,-1,0,456,672,1,1,672,1344,1964,-1,1,468,147000
5,5,1920,1950,0,1,0,0,-2,0,596,0,-1,596,1192,1920,-1,1,189,78000
4,6,1925,1950,0,3,0,-1,-2,0,572,-1,-1,572,572,1940,-1,1,200,75000
2,4,1910,1950,-1,2,-3,-2,-3,0,0,0,-1,810,810,1975,-1,1,280,57625
6,6,1977,1977,0,2,0,1,2,767,902,2,1,926,926,1977,-1,1,351,156450
6,7,1977,1977,0,2,1,1,3,841,957,0,1,1287,1287,1977,0,2,541,173000
7,5,1990,1991,0,1,1,1,3,611,1188,2,1,1217,1217,1990,-1,2,497,173000
8,5,2007,2007,1,1,1,1,3,16,1466,2,1,1466,1466,2007,1,3,610,201000
6,5,1988,1988,0,2,1,0,3,1005,1392,0,1,1412,1412,1988,-1,2,576,175000
7,5,1987,1989,0,1,1,2,3,904,1645,2,1,1479,1479,1987,1,2,578,213500
8,5,2001,2002,1,1,2,-1,3,1005,1267,2,1,1296,1296,2001,1,2,471,220000
5,7,1968,1968,0,2,0,-1,2,532,1008,1,1,1008,1008,1968,-1,1,384,139500
6,5,1998,1998,0,1,2,-1,3,866,1204,2,1,1204,1204,1998,1,2,412,162000
6,5,1999,1999,0,1,2,-1,3,883,1224,2,1,1224,1224,1999,1,2,402,165000
4,5,1973,1973,0,2,1,2,3,462,462,0,1,526,988,1973,-1,1,297,91000
5,6,1968,1968,0,2,0,-1,1,510,864,0,1,874,874,1968,0,1,288,130000
4,8,1970,2002,0,2,1,1,3,515,630,0,1,630,630,1970,-1,1,286,86000
5,5,1969,2000,0,2,0,-1,1,594,1188,2,1,1404,1404,1969,-1,2,504,160000
4,4,1970,1970,0,2,1,1,3,509,630,0,1,630,630,1970,-1,1,286,80000
4,6,1970,2008,0,2,0,-1,-2,0,546,0,1,798,1344,1978.132443,-2,0,0,97000
4,4,1970,1970,0,2,0,-1,1,273,546,0,1,546,1092,1970,0,1,286,88000
5,8,1972,1972,0,2,1,1,3,720,796,1,1,796,796,1998,-1,1,336,131900
6,5,1993,1996,0,2,1,1,0,114,384,2,1,1091,1091,1993,1,1,429,131250
5,6,1978,1978,0,1,1,1,3,1097,1097,2,1,1110,1110,1978,1,2,602,165500
5,5,1985,1985,0,2,0,-1,2,625,833,2,1,833,833,1978.132443,-2,0,0,112000
5,6,1992,1993,0,1,1,1,3,718,828,0,1,883,883,1998,-1,2,698,149000
5,5,1993,1995,0,-2,1,-1,3,732,796,2,1,796,1362,1993,-1,2,480,143000
5,5,1992,1992,0,1,1,-1,2,330,624,0,1,624,1287,2001,-1,2,440,130000
6,8,1958,2002,2,2,1,-1,2,528,1184,2,1,1414,1414,1990,-1,2,601,176500
6,5,1995,1996,0,1,1,-1,2,476,680,1,1,680,1470,1995,1,2,420,165000
5,5,1996,1997,1,1,1,-1,3,450,1348,1,1,1384,1384,1996,-1,2,404,177900
7,5,1996,1997,0,1,1,2,3,604,729,2,1,729,1446,1996,-1,2,406,175000
8,5,1993,1993,1,1,1,-1,3,733,1337,1,1,1337,1337,1993,0,2,462,180000
8,5,1992,1992,1,1,1,0,-2,0,1280,2,1,1280,1280,1992,0,2,506,180000
8,5,1988,1989,1,1,1,0,3,767,1228,1,1,1228,1228,1988,1,2,472,189000
8,5,1989,1989,1,1,1,2,3,319,1337,1,1,1337,1337,1989,0,2,462,188500
6,2,1952,1952,0,2,0,-1,-2,0,1632,0,1,1474,1474,1952,-1,2,495,115000
6,6,1981,1981,0,2,1,-1,3,588,1422,0,1,1422,1422,1981,1,2,576,175500
7,7,1983,1983,1,2,1,0,3,747,1260,0,1,1260,1260,1983,-1,2,598,181900
6,5,1976,1976,0,1,1,-1,2,890,1211,0,1,1211,1211,1976,1,2,461,161000
5,6,1969,1969,0,2,0,-1,1,280,720,1,1,720,1308,1969,-1,2,484,146900
6,5,1976,1976,0,2,0,-1,-2,0,1444,0,1,1444,1444,1976,-1,2,473,159900
5,6,1973,2000,0,2,1,-1,1,1084,1176,1,1,1178,1178,1973,-1,2,439,157000
6,8,1969,1969,0,2,1,-1,2,602,1054,1,1,1054,1054,1969,-1,2,460,151000
4,6,1969,1969,0,2,1,0,0,252,936,0,1,936,936,1969,-1,1,288,111900
5,5,1971,1971,0,2,1,-1,0,119,864,0,1,864,864,1977,-1,2,576,123000
4,5,1972,1972,0,2,0,-1,1,600,864,0,1,864,864,1980,-1,2,576,111250
6,5,1973,1973,0,2,0,-1,-1,458,483,0,1,483,987,1973,-1,1,264,103400
6,5,1973,1973,0,2,0,-1,1,330,483,0,1,483,987,1973,-1,1,264,100000
6,6,1972,1972,0,2,0,-1,-1,483,483,1,1,483,987,1975,-1,1,352,100500
6,6,1970,1970,0,2,0,-1,0,321,483,0,1,483,987,1987,-1,1,280,106000
6,3,1971,1971,0,2,0,-1,2,358,483,0,1,483,987,1971,-1,1,264,89500
5,5,1972,1972,0,2,0,-1,0,350,630,0,1,630,1302,1972,-1,1,264,111750
6,6,1975,1975,0,2,1,-1,2,286,855,1,1,855,1456,1975,0,2,460,143000
7,6,1977,1977,0,2,1,-1,2,378,1055,-1,1,1055,1055,1977,-1,2,440,148500
5,5,1966,1966,0,2,0,-1,0,340,864,0,1,892,892,1966,0,1,264,110000
7,5,2005,2005,1,1,1,-1,3,20,1367,2,1,1367,1367,2005,0,2,484,192000
8,5,2006,2007,1,1,1,-1,3,846,1342,2,1,1342,1342,2007,1,2,550,234250
8,5,2006,2007,1,1,1,-1,3,24,1342,2,1,1342,1342,2007,0,2,550,219500
7,5,2004,2004,1,1,1,1,3,720,1358,2,1,1358,1358,2004,0,2,484,207000
7,5,2003,2003,1,1,1,2,3,1073,1415,2,1,1455,1455,2003,1,3,644,195000
7,5,2007,2007,1,1,1,1,-2,0,1266,2,1,1266,1266,2007,1,2,388,159895
7,5,2005,2005,1,1,1,2,3,655,856,2,1,1166,1166,2005,1,2,400,190000
6,5,2005,2005,0,1,1,-1,-2,0,728,2,1,728,1456,2005,1,2,400,176000
7,5,2004,2005,1,1,1,1,3,724,788,2,1,788,1490,2004,1,2,388,184000
7,5,2002,2002,1,1,1,-1,-2,0,707,2,1,707,1414,2002,1,2,403,176000
8,5,2006,2007,1,1,2,-1,3,666,1460,2,1,1460,1460,2006,1,2,480,247000
7,5,2004,2005,0,1,1,-1,3,680,1080,2,1,1080,1080,1978.132443,-2,0,0,141000
6,5,2005,2006,0,1,1,-1,3,80,1175,2,1,1175,1175,1978.132443,-2,0,0,146000
5,5,2004,2004,0,1,0,-1,3,646,1114,2,1,1114,1114,2004,-1,2,576,159000
6,5,2003,2004,0,1,1,-1,3,814,1114,2,1,1114,1114,2004,-1,2,576,155000
7,5,2007,2007,1,1,1,0,-2,0,1162,2,1,1162,1162,2007,1,2,483,170000
6,5,1991,1991,0,2,1,-1,3,1200,1278,1,1,1294,1294,1991,0,2,496,179200
6,5,1993,1993,1,1,1,-1,3,300,1199,2,1,1199,1199,1993,0,2,530,153900
5,5,1963,1963,0,1,0,-1,1,53,984,0,1,984,984,1963,0,1,384,128000
5,6,1962,1962,0,2,0,-1,2,737,912,0,1,912,912,1962,-1,1,352,144000
5,8,1961,2007,0,2,0,-1,2,764,864,2,1,864,864,1962,-1,1,420,135000
5,5,1968,1968,0,2,0,0,2,890,890,1,-1,890,890,1970,-1,1,308,115000
6,8,1961,1996,0,2,0,0,3,832,912,1,1,912,912,1962,-1,1,288,142000
6,5,1974,1974,0,2,0,1,2,800,1430,0,1,1430,1430,1974,-1,2,484,192000
7,5,2004,2004,1,1,1,0,3,16,1391,2,1,1391,1391,2004,0,2,530,196000
7,5,2006,2007,1,1,1,-1,-2,0,625,2,1,625,1250,2006,1,2,625,171900
7,5,2004,2005,1,1,1,-1,3,24,1235,2,1,1245,1245,2004,0,2,495,178000
6,5,2005,2005,1,1,1,-1,3,390,600,2,1,600,1200,2005,0,2,480,165000
9,5,2001,2001,1,1,2,1,3,1004,1310,2,1,1310,1310,2001,0,2,545,285000
9,5,2001,2001,1,1,2,1,3,964,1419,2,1,1419,1419,2001,1,2,588,290000
7,5,1999,2000,1,1,1,-1,1,510,600,2,1,624,1252,1999,-1,2,462,160000
7,5,1999,2000,1,1,1,-1,3,600,672,2,1,684,1404,1999,-1,2,462,170000
8,5,1996,1996,1,1,1,-1,3,786,1260,2,1,1288,1288,1996,1,2,500,245500
8,5,1995,1995,1,1,1,2,-1,560,1230,2,1,1239,1239,1995,1,2,477,217500
6,6,1984,1984,0,1,1,-1,1,660,1232,0,1,1232,1232,1984,-1,2,516,162500
